"language","filename","sex","notes"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/marmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/maymd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/melmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/nedmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/paumd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/petmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/rasmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/raumd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/rilmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/rocmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/rosmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/sarmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/susmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/tommd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/trimd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/vicmd7",,"mot-only task"
"English","English/Eng-NA-MOR/Hall/BlackPro/anc",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackPro/bom",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackPro/brd",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackPro/chj",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackPro/ded",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackPro/jaf",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackPro/kif",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackPro/mim",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackPro/ref",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackPro/trh",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackPro/voh",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackWork/anl",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackWork/deg",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackWork/kig",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackWork/kmf",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackWork/lef",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackWork/mis",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackWork/pag",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackWork/rog",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackWork/roj",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/BlackWork/trc",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhitePro/gas",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhitePro/grc",,
"English","English/Eng-NA-MOR/Hall/WhitePro/job",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhitePro/jub",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhitePro/lea",,
"English","English/Eng-NA-MOR/Hall/WhitePro/maa",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhitePro/rob",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhitePro/toh",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhitePro/tos",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhitePro/zoe",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhiteWork/boo",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhiteWork/dal",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhiteWork/kag",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhiteWork/kao",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhiteWork/mig",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhiteWork/sat",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhiteWork/stl",,"multiple chi"
"English","English/Eng-NA-MOR/Hall/WhiteWork/sut",,"multiple chi"
"English","English/Eng-NA-MOR/MacWhinney/0notlinked/01diary","male",
"English","English/Eng-NA-MOR/MacWhinney/66a1","male",
"English","English/Eng-NA-MOR/MacWhinney/66a2","male",
"English","English/Eng-NA-MOR/MacWhinney/66b1","male",
"English","English/Eng-NA-MOR/MacWhinney/66b2","male",
"English","English/Eng-NA-MOR/MacWhinney/72a","male",
"English","English/Eng-NA-MOR/MacWhinney/72b","male",
"English","English/Eng-NA-MOR/MacWhinney/72f","male",
"English","English/Eng-NA-MOR/MacWhinney/72g","male",
"English","English/Eng-NA-MOR/MacWhinney/85a1","male",
"English","English/Eng-NA-MOR/MacWhinney/87a1","male",
"English","English/Eng-NA-MOR/MacWhinney/87a2","male",
"English","English/Eng-NA-MOR/MacWhinney/87b1","male",
"English","English/Eng-NA-MOR/McCune/Alice/alice17","female",
"English","English/Eng-NA-MOR/McCune/Alice/alice18","female",
"English","English/Eng-NA-MOR/McCune/Alice/alice19","female",
"English","English/Eng-NA-MOR/McCune/Alice/alice20","female",
"English","English/Eng-NA-MOR/McCune/Alice/alice21","female",
"English","English/Eng-NA-MOR/McCune/Alice/alice22","female",
"English","English/Eng-NA-MOR/McCune/Alice/alice23","female",
"English","English/Eng-NA-MOR/McCune/Alice/alice24","female",
"English","English/Eng-NA-MOR/McCune/Rick/rick19","male",
"English","English/Eng-NA-MOR/McCune/Rick/rick20","male",
"English","English/Eng-NA-MOR/McCune/Rick/rick21","male",
"English","English/Eng-NA-MOR/McCune/Rick/rick22","male",
"English","English/Eng-NA-MOR/McCune/Rick/rick23","male",
"English","English/Eng-NA-MOR/McCune/Rick/rick24","male",
"English","English/Eng-NA-MOR/McMillan/triplets","female",
"English","English/Eng-NA-MOR/Morisset/Seattle/702m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/703m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/706m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/709m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/711m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/715m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/718m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/719m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/720m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/724m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/726m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/733m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/736m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/738m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/740m30",,"not codable"
"English","English/Eng-NA-MOR/Morisset/Seattle/742m30",,"not codable"
